Id,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to property,Lot size in square feet,Type of road access to property,Type of alley access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on house,Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluates the general condition of the basement,Refers to walkout or garden level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet (all floors),Above grade (ground) living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,Kitchen quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
534,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,50.0,5000,Paved,,Regular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Brookside,Normal,Normal,Single-family Detached,One story,Very Poor,Fair,1946,1950,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Fair,Fair,Slab,,,,,0,,0,0,0,Gas forced warm air furnace,Fair,No,60 AMP Fuse Box and mostly Romex wiring (Fair),334,0,0,334,0,0,1,0,1,1,Fair,2,Typical Functionality,0,,,,,0,0,,,Dirt/Gravel,0,0,0,0,0,0,,,,0,1,2007,Warranty Deed - Conventional,Normal Sale,39300
604,2-STORY PUD - 1946 & NEWER,Floating Village Residential,30.0,3182,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Townhouse End Unit,Two story,Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,600,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,600,600,0,1200,0,0,2,1,2,1,Good,4,Typical Functionality,0,,Detached from home,2004.0,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,0,172,0,0,0,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,151000
466,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,,3072,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Normal,Townhouse End Unit,One story,Good,Average,2004,2004,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,18.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1375,1375,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1414,0,0,1414,0,0,2,0,2,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,2004.0,Finished,2,398,Typical/Average,Typical/Average,Paved,144,20,0,0,0,0,,,,0,5,2006,Warranty Deed - Conventional,Normal Sale,178740
1392,DUPLEX - ALL STYLES AND AGES,Residential Low Density,65.0,8944,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Duplex,One story,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1584,1584,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1584,0,0,1584,0,0,2,0,4,2,Typical/Average,8,Moderate Deductions,0,,Detached from home,1967.0,Unfinished,3,792,Typical/Average,Typical/Average,Paved,0,152,0,0,0,0,,,,0,4,2009,Warranty Deed - Conventional,Normal Sale,124000
1245,2-STORY 1945 & OLDER,Residential Low Density,,11435,Paved,,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Corner lot,Moderate Slope,Crawford,Normal,Normal,Single-family Detached,Two story,Very Good,Good,1929,1950,Gable,Standard (Composite) Shingle,Brick Face,Stucco,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,792,792,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,792,725,0,1517,0,0,1,0,3,1,Good,7,Typical Functionality,2,Good - Masonry Fireplace in main level,Detached from home,1931.0,Unfinished,2,400,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,230000
1081,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,11040,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,Above Average,Good,1971,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,144.0,Good,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,656,Unfinshed,0,602,1258,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1258,0,0,1258,0,1,2,0,3,1,Good,5,Typical Functionality,0,,Attached to home,1971.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,55,0,0,216,0,0,,,,0,10,2008,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",145000
905,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,6173,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,Average,Above Average,1967,1967,Gable,Standard (Composite) Shingle,Hard Board,Wood Siding,Brick Face,75.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,599,Unfinshed,0,277,876,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,902,0,0,902,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,,Attached to home,1967.0,Unfinished,1,288,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Minimum Privacy,,0,8,2007,Warranty Deed - Conventional,Normal Sale,125500
61,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,63.0,13072,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to East-West Railroad,Normal,Single-family Detached,One story,Above Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,941,Unfinshed,0,217,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,0,0,1158,1,0,1,1,3,1,Good,5,Typical Functionality,0,,Detached from home,2006.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,50,0,0,0,0,,,,0,5,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),158000
93,1-STORY 1945 & OLDER,Residential Low Density,80.0,13360,Paved,Gravel,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,One story,Average,Good,1921,2006,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Good,Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,713,Unfinshed,0,163,876,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,964,0,0,964,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Detached from home,1921.0,Unfinished,2,432,Typical/Average,Typical/Average,Paved,0,0,44,0,0,0,,,,0,8,2009,Warranty Deed - Conventional,Normal Sale,163500
667,2-STORY 1946 & NEWER,Residential Low Density,,18450,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,Two story,Above Average,Average,1965,1979,Flat,Gravel & Tar,Plywood,Plywood,Brick Common,113.0,Average/Typical,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Low Quality,187,Average Rec Room,723,111,1021,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1465,915,0,2380,0,0,2,1,3,1,Typical/Average,7,Severely Damaged,1,Poor - Ben Franklin Stove,Car Port,1965.0,Unfinished,2,596,Typical/Average,Typical/Average,Paved,0,265,0,0,0,0,,,,0,8,2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129000
728,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,64.0,7314,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,82.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,724,Unfinshed,0,508,1232,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1232,0,0,1232,1,0,2,0,2,1,Good,6,Typical Functionality,0,,Attached to home,2007.0,Rough Finished,2,632,Typical/Average,Typical/Average,Paved,132,0,0,0,0,0,,,,0,2,2009,Warranty Deed - Conventional,Normal Sale,194500
195,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60.0,7180,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,Average,Good,1972,1972,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters,390,Unfinshed,0,474,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,,Detached from home,1989.0,Unfinished,1,352,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,5,2008,Warranty Deed - Conventional,Normal Sale,127000
281,2-STORY 1946 & NEWER,Residential Low Density,82.0,11287,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Two story,Good,Above Average,1989,1989,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,340.0,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,421,Unfinshed,0,386,807,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1175,807,0,1982,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1989.0,Finished,2,575,Typical/Average,Typical/Average,Paved,0,84,0,196,0,0,,,,0,1,2007,Warranty Deed - Conventional,Normal Sale,228500
360,2-STORY 1946 & NEWER,Residential Low Density,78.0,12011,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Northridge,Normal,Normal,Single-family Detached,Two story,Very Good,Average,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,530.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,956,Unfinshed,0,130,1086,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1086,838,0,1924,1,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1998.0,Rough Finished,2,592,Typical/Average,Typical/Average,Paved,208,75,0,0,374,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,280000
520,2-STORY 1945 & OLDER,Residential Low Density,53.0,10918,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,Two story,Good,Excellent,1926,2004,Gabrel (Barn),Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Good,Average/Typical,Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1276,1276,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1276,804,0,2080,0,0,1,1,3,1,Good,9,Typical Functionality,2,Good - Masonry Fireplace in main level,Detached from home,1926.0,Unfinished,1,282,Typical/Average,Typical/Average,Paved,0,0,0,0,145,0,,Minimum Privacy,,0,6,2009,Warranty Deed - Conventional,Normal Sale,234000
1456,2-STORY 1946 & NEWER,Residential Low Density,62.0,7917,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two story,Above Average,Average,1999,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,953,953,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,953,694,0,1647,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1999.0,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,0,40,0,0,0,0,,,,0,8,2007,Warranty Deed - Conventional,Normal Sale,175000
924,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,50.0,8012,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Townhouse End Unit,One story,Above Average,Average,1993,1994,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Low Quality,165,Good Living Quarters,841,598,1604,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1617,0,0,1617,1,0,2,0,2,1,Good,5,Typical Functionality,1,Fair - Prefabricated Fireplace in basement,Attached to home,1993.0,Rough Finished,2,533,Typical/Average,Typical/Average,Paved,0,69,0,0,0,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,193000
183,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60.0,9060,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Adjacent to arterial street,Normal,Single-family Detached,One story,Average,Above Average,1957,2006,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,98.0,Average/Typical,Average/Typical,Poured Contrete,,,,,0,,0,0,0,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1340,0,0,1340,0,0,1,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,1957.0,Rough Finished,1,252,Typical/Average,Typical/Average,Paved,116,0,0,180,0,0,,Minimum Privacy,,0,6,2007,Warranty Deed - Conventional,Normal Sale,120000
988,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,83.0,10159,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,Excellent,Average,2009,2010,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,450.0,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1646,Unfinshed,0,284,1930,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1940,0,0,1940,1,0,2,1,3,1,Excellent,8,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2010.0,Finished,3,606,Typical/Average,Typical/Average,Paved,168,95,0,0,0,0,,,,0,4,2010,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),395192
111,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,75.0,9525,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Below Average,1954,1972,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Average Rec Room,444,Unfinshed,0,550,994,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1216,639,0,1855,0,0,2,0,4,1,Typical/Average,7,Typical Functionality,0,,Attached to home,1954.0,Unfinished,1,325,Typical/Average,Typical/Average,Paved,182,0,0,0,0,0,,,,0,10,2006,Warranty Deed - Conventional,Normal Sale,136900
43,SPLIT FOYER,Residential Low Density,,9180,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Split Foyer,Average,Good,1983,1983,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters,747,Low Quality,93,0,840,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,884,0,0,884,1,0,1,0,2,1,Good,5,Typical Functionality,0,,Attached to home,1983.0,Rough Finished,2,504,Typical/Average,Good,Paved,240,0,0,0,0,0,,Minimum Privacy,,0,12,2007,Warranty Deed - Conventional,Normal Sale,144000
1237,2-STORY PUD - 1946 & NEWER,Residential Low Density,36.0,2628,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Twnhs,Two story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Wd Shng,Stone,106.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,764,764,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,764,862,0,1626,0,0,2,1,2,1,Good,6,Typical Functionality,0,,Built-In (Garage part of house - typically has room above garage),2003.0,Rough Finished,2,474,Typical/Average,Typical/Average,Paved,0,27,0,0,0,0,,,,0,6,2010,Warranty Deed - Conventional,Normal Sale,175500
205,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50.0,3500,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,1947,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,Asbestos Shingles,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,312,Unfinshed,0,408,720,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,720,564,0,1284,0,0,1,1,2,1,Typical/Average,5,Typical Functionality,0,,Detached from home,1948.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,35,0,0,0,0,,Minimum Wood/Wire,,0,4,2009,Warranty Deed - Conventional,Normal Sale,110000
984,2-STORY 1946 & NEWER,Residential Low Density,,11250,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two story,Very Good,Average,2002,2002,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinshed,0,Unfinshed,0,1128,1128,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1149,1141,0,2290,0,0,2,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2002.0,Unfinished,2,779,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,5,2008,Warranty Deed - Conventional,Normal Sale,255900
53,DUPLEX - ALL STYLES AND AGES,Residential Medium Density,110.0,8472,Gravel,,Moderately Irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Corner lot,Moderate Slope,Iowa DOT and Rail Road,Within 200' of North-South Railroad,Normal,Duplex,One story,Average,Average,1963,1963,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Fair,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,104,Good Living Quarters,712,0,816,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,816,0,0,816,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Car Port,1963.0,Unfinished,2,516,Typical/Average,Typical/Average,Paved,106,0,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,110000
546,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,,13837,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,1988,1988,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,178.0,Good,Good,Poured Contrete,Good (90-99 inches),Good,No Exposure,Good Living Quarters,1002,Low Quality,202,0,1204,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1377,806,0,2183,0,0,2,1,4,1,Good,9,Typical Functionality,0,,Attached to home,1988.0,Unfinished,3,786,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,2,2006,Warranty Deed - Conventional,Normal Sale,229000
946,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,98.0,8820,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,1890,1996,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,1088,Unfinshed,0,0,1088,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1188,561,120,1869,0,0,1,0,2,1,Typical/Average,7,Typical Functionality,0,,Detached from home,1963.0,Unfinished,2,456,Typical/Average,Typical/Average,Paved,48,0,244,0,0,0,,Minimum Wood/Wire,,0,9,2009,Warranty Deed - Conventional,Normal Sale,124900
853,2-1/2 STORY ALL AGES,Residential Low Density,53.0,7128,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,Two and one-half story: 2nd level unfinished,Good,Average,1941,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,364,Unfinshed,0,554,918,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,918,728,0,1646,0,0,2,0,4,1,Typical/Average,7,Typical Functionality,2,Good - Masonry Fireplace in main level,Detached from home,1941.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,126,0,,Minimum Privacy,,0,8,2007,Warranty Deed - Conventional,Normal Sale,164000
1414,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,88.0,10994,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,One story,Very Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,366.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,No Exposure,Good Living Quarters,976,Unfinshed,0,868,1844,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1844,0,0,1844,1,0,2,0,2,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2005.0,Finished,2,620,Typical/Average,Typical/Average,Paved,165,44,0,0,0,0,,,,0,9,2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",257000
1376,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,89.0,10991,Paved,,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timberland,Normal,Normal,Single-family Detached,One story,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,80.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Unfinshed,0,Unfinshed,0,1571,1571,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1571,0,0,1571,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2007.0,Finished,3,722,Typical/Average,Typical/Average,Paved,100,36,0,0,0,0,,,,0,12,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),239000
184,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,63.0,11426,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1362,1362,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1362,720,0,2082,0,0,2,1,3,1,Good,6,Moderate Deductions,0,,Detached from home,2003.0,Unfinished,2,484,Typical/Average,Typical/Average,Dirt/Gravel,280,238,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,200000
